Rank,Task,Model,Params,Preprocess,Deriv,Window,Poly,LVs,n_vars,full_vars,SubsetTag,RMSE,R2,CompositeScore,top_vars
118,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 5, 'activation': 'tanh'}",snv_deriv,1,7,2,,100,500,top100,22.805897020242032,-0.18179786285918353,-0.2841852082784938,N/A
119,regression,PLS,{'n_components': 8},deriv,1,7,2,8,50,500,top50,23.090017764328824,-0.1835672044027236,-0.24959142305917772,N/A
120,regression,PLS,{'n_components': 10},snv,,,,10,100,500,top100,22.978977125093138,-0.1845987273861426,-0.2335002793672036,N/A
121,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 3, 'activation': 'tanh'}",snv_deriv,1,7,2,,50,500,top50,23.787832072360533,-0.26362254538510116,-0.2157797524608303,N/A
122,regression,PLS,{'n_components': 2},snv,,,,2,50,500,top50,23.80347396746558,-0.2565012115377919,-0.2092520851918322,N/A
123,regression,PLS,{'n_components': 6},deriv,1,7,2,6,100,500,top100,23.419656774045993,-0.23616639348795712,-0.2076048493777029,N/A
124,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 3, 'activation': 'identity'}",snv,,,,,100,500,top100,23.71484801876846,-0.28200728193670205,-0.19980591038951234,N/A
125,regression,PLS,{'n_components': 12},raw,,,,12,100,500,top100,23.28616902453705,-0.23358669087485337,-0.19198428199011483,N/A
126,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 5, 'activation': 'tanh'}",snv_deriv,1,7,2,,50,500,top50,24.065994924126255,-0.2983937558674998,-0.18860054081814484,N/A
127,regression,PLS,{'n_components': 4},snv,,,,4,50,500,top50,24.024606262511412,-0.2894126895938336,-0.17790331342287008,N/A
128,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 3, 'activation': 'tanh'}",snv,,,,,50,500,top50,24.316156514751842,-0.29809683544671306,-0.1745935551669336,N/A
129,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 5, 'activation': 'tanh'}",snv,,,,,50,500,top50,24.370150019108326,-0.3091220324105893,-0.1679042870164372,N/A
